id,departement,circonscription,numPanneau,nomCandidat,prenomCandidat,civiliteCandidat,codeNuance,libelleNuance
3629,95,9504,4,BERTHAULT,Grégory,M.,ECO,Ecologistes
3630,95,9504,5,RODSPHON,Inthone,M.,LR,Les Républicains
3631,95,9504,6,MOUTCHOU,Naïma,Mme,ENS,Ensemble ! (Majorité présidentielle)
3632,95,9504,7,DURAND,Robin,M.,DIV,Divers
3633,95,9504,8,L'HOMMEDET,Marie-Françoise,Mme,EXG,Extrême gauche
3634,95,9505,1,HOARAU,Quentin,M.,RN,Rassemblement National
3635,95,9505,2,LILIYAJE,Fatima,Mme,ENS,Ensemble ! (Majorité présidentielle)
3636,95,9505,3,POIAGHI,Jean-Baptiste,M.,EXG,Extrême gauche
3637,95,9505,4,BALEUR,Thès,Mme,DIV,Divers
3638,95,9505,5,VANNIER,Paul,M.,UG,Union de la gauche
3639,95,9505,6,LESUEUR,Dominique,Mme,ECO,Ecologistes
3640,95,9505,7,PHAM,Gilbert,M.,UDI,Union des Démocrates et Indépendants
3641,95,9505,8,MARIETTE,Dominique,M.,EXG,Extrême gauche
3642,95,9505,9,MEZIANE,Boualem,M.,LR,Les Républicains
3643,95,9506,1,FOLEST,Estelle,Mme,ENS,Ensemble ! (Majorité présidentielle)
3644,95,9506,2,ELÉLOUÉ-VALMAR,Loïc,M.,REG,Régionaliste
3645,95,9506,3,GUILBAUD,Audrey,Mme,LR,Les Républicains
3646,95,9506,4,CATHALA,Gabrielle,Mme,UG,Union de la gauche
3647,95,9506,5,REINMANN,Agnès,Mme,EXG,Extrême gauche
3648,95,9506,6,CELESTIN,Christophe,M.,DVC,Divers centre
3649,95,9506,7,DAGEVILLE,Marine,Mme,EXG,Extrême gauche
3650,95,9506,8,LASMARRIGUES,Jean Bernard,M.,REC,Reconquête !
3651,95,9506,9,BRUNA,Annika,Mme,RN,Rassemblement National
3652,95,9506,10,MIKAEL,Emmanuel,M.,DVC,Divers centre
3653,95,9507,1,SUAREZ,Valérie,Mme,EXG,Extrême gauche
3654,95,9507,2,CHASTAING,Marie-Christine,Mme,DSV,Droite souverainiste
3655,95,9507,3,VIEVILLE,Virginie,Mme,REC,Reconquête !
3656,95,9507,4,ESKENAZI,Romain,M.,UG,Union de la gauche
3657,95,9507,5,UZAN,Linda,Mme,DIV,Divers
3658,95,9507,6,YALCIN,Jean-Pierre,M.,LR,Les Républicains
3659,95,9507,7,DA SILVA,Dominique,M.,ENS,Ensemble ! (Majorité présidentielle)
3660,95,9507,8,GAVOIS,Aurélien,M.,EXG,Extrême gauche
3661,95,9507,9,ARNAL,Didier,M.,DIV,Divers
3662,95,9507,10,QUENTIN,David,M.,RN,Rassemblement National
3663,95,9508,1,KHERFI,Malika,Mme,DVC,Divers centre
3664,95,9508,2,FOUCHEREAU,Thierry,M.,RN,Rassemblement National
3665,95,9508,3,ANGREVIER,Patrick,M.,DVD,Divers droite
3666,95,9508,4,ZINAOUI,Ramzi,M.,UDI,Union des Démocrates et Indépendants
3667,95,9508,5,BILONGO,Carlos Martens,M.,UG,Union de la gauche
3668,95,9508,6,TONDU,Jean-Baptiste,M.,EXG,Extrême gauche
3669,95,9508,7,GAJDOS,Rémi,M.,EXG,Extrême gauche
3670,95,9508,8,VARELA,Luisa,Mme,REC,Reconquête !
3671,95,9509,1,RONCHINI,Vanessa,Mme,EXG,Extrême gauche
3672,95,9509,2,SAID,David,M.,REC,Reconquête !
